,Result,Result,Result,Result,Size Result,Size Result,Size Result,Size Result,Is MIS,Is MIS,Is MIS,Is MIS,Time,Time,Time,Time,Warnings,Warnings,Warnings,Warnings
,memetic,ss,aco1,aco2,memetic,ss,aco1,aco2,memetic,ss,aco1,aco2,memetic,ss,aco1,aco2,memetic,ss,aco1,aco2
brock200_2.clq.txt n=200 e=9876,"[16, 25, 28, 32, 84, 91, 156, 157, 186, 187, 192]","[2, 55, 97, 99, 104, 106, 110, 128, 167, 177, 187]","[132, 135, 168, 82, 19, 181, 90, 31, 63]","[159, 44, 81, 178, 179, 125, 22, 54, 63, 127]",11,11,9,10,TRUE,TRUE,TRUE,TRUE,19.18413973,33.03552032,3.635448933,18.49187565,,,,
brock200_4.clq.txt n=200 e=13089,"[21, 26, 111, 115, 125, 135, 140, 146]","[7, 21, 43, 44, 95, 117, 181, 195]","[65, 49, 82, 135, 59, 93, 95]","[163, 132, 135, 172, 111, 146, 150, 26]",8,8,7,8,TRUE,TRUE,TRUE,TRUE,26.85378027,46.46403313,1.73760581,9.281653881,,,,
brock400_2.clq.txt n=400 e=59786,"[76, 102, 141, 193, 232, 279, 359]","[82, 231, 233, 245, 286, 325, 386]","[131, 243, 200, 187, 237, 270, 303]","[131, 243, 200, 187, 237, 270, 303]",7,7,7,7,TRUE,TRUE,TRUE,TRUE,187.6459913,316.7463284,8.565129757,44.47532988,,,,
brock400_4.clq.txt n=400 e=59765,"[3, 30, 31, 146, 251, 340, 346]","[22, 50, 70, 93, 103, 361, 370]","[294, 7, 360, 104, 45, 366]","[368, 321, 159, 51, 148, 245, 303]",7,7,6,7,TRUE,TRUE,TRUE,TRUE,1071.688596,321.7144213,9.089402676,43.96955967,,,,
brock800_2.clq.txt n=800 e=208166,"[48, 89, 186, 265, 267, 287, 575, 659, 732]",set(),"[5, 46, 719, 278, 374, 504, 60, 127]","[672, 679, 298, 554, 690, 115, 660, 310, 476]",9,0,8,9,TRUE,FALSE,TRUE,TRUE,1788.428124,1800,175.434242,659.751452,,TIMEOUT,,
brock800_4.clq.txt n=800 e=207643,"[31, 54, 102, 264, 272, 288, 326, 365, 380]",set(),"[547, 714, 493, 111, 601, 122, 92, 734]","[0, 648, 714, 749, 403, 248, 665, 475, 62]",9,0,8,9,TRUE,FALSE,TRUE,TRUE,1932.412968,1800,176.3224216,870.7223682,,TIMEOUT,,
C1000.9.clq.txt n=1000 e=450079,set(),set(),"[115, 548, 660, 186, 911]","[145, 774, 534, 603, 700]",0,0,5,5,FALSE,FALSE,TRUE,TRUE,1800,1800,187.0713463,923.9468338,TIMEOUT,TIMEOUT,,
C125.9.clq.txt n=125 e=6963,"[15, 28, 52, 75]","[25, 36, 94, 97]","[97, 36, 94, 25]","[72, 121, 35, 89]",4,4,4,4,TRUE,TRUE,TRUE,TRUE,13.42938042,20.7410326,0.1964788437,0.9201250076,,,,
C2000.9.clq.txt n=1000 e=450079,set(),set(),"[115, 147, 201, 282, 799]","[838, 8, 410, 571, 542]",0,0,5,5,FALSE,FALSE,TRUE,TRUE,1800,1800,96.16908431,344.9819152,TIMEOUT,TIMEOUT,,
C250.9.clq.txt n=250 e=27984,"[1, 116, 125, 171, 243]","[72, 111, 185, 207, 248]","[21, 166, 184, 139, 238]","[1, 243, 116, 171, 125]",5,5,5,5,TRUE,TRUE,TRUE,TRUE,75.73708963,114.8894522,1.233699799,6.016368389,,,,
C500.9.clq.txt n=500 e=112332,"[85, 128, 192, 237, 468]","[85, 128, 192, 237, 468]","[368, 470, 219, 76, 255]","[401, 371, 467, 278, 46]",5,5,5,5,TRUE,TRUE,TRUE,TRUE,618.8399274,922.6504331,6.375834465,31.99677753,,,,
DSJC1000.5.clq.txt n=1000 e=249826,set(),set(),"[129, 485, 550, 73, 715, 876, 111, 719, 758, 824, 443, 255]","[930, 323, 4, 103, 359, 329, 586, 812, 627, 954, 667, 956]",0,0,12,12,FALSE,FALSE,TRUE,TRUE,1800,1800,456.8365443,1800,TIMEOUT,TIMEOUT,,TIMEOUT
DSJC500.5.clq.txt n=500 e=62624,"[7, 25, 71, 87, 170, 196, 227, 243, 285, 289, 303, 415, 424]","[12, 24, 79, 108, 191, 225, 296, 305, 311, 319, 356, 376, 388]","[131, 105, 74, 462, 401, 148, 180, 149, 311, 185, 93, 319]","[160, 0, 194, 129, 100, 324, 37, 39, 168, 134, 408]",13,13,12,11,TRUE,TRUE,TRUE,TRUE,270.8262138,320.0925791,57.05196643,298.2014999,,,,
gen200_p0.9_44.txt n=200 e=17910,"[30, 93, 132, 134, 166]","[62, 99, 105, 133, 151]","[16, 33, 23, 138, 142]","[132, 134, 166, 93, 30]",5,5,5,5,TRUE,TRUE,TRUE,TRUE,42.3249557,74.25862575,0.2828493118,1.480167389,,,,
gen200_p0.9_55.txt n=200 e=17910,"[24, 51, 117, 135]","[1, 16, 35, 185]","[9, 132, 85, 118]","[96, 84, 183, 14, 47]",4,4,4,5,TRUE,TRUE,TRUE,TRUE,33.73991513,58.88152337,0.2808856964,1.47200036,,,,
gen400_p0.9_55.txt n=400 e=71820,"[8, 80, 255, 280, 354, 366, 379, 380]","[13, 74, 103, 165, 238, 314, 351, 394]","[0, 134, 200, 235, 203, 146, 124, 158]","[139, 205, 141, 179, 340, 55, 184, 283]",8,8,8,8,TRUE,TRUE,TRUE,TRUE,267.5029953,4644.72516,2.61054635,13.14341211,,,,
gen400_p0.9_65.txt n=400 e=71820,"[56, 65, 73, 252, 332, 337, 346]","[49, 58, 76, 95, 188, 244, 281]","[65, 337, 252, 56, 73, 346, 332]","[49, 188, 244, 281, 58, 76, 95]",7,7,7,7,TRUE,TRUE,TRUE,TRUE,152.6207247,281.3183656,3.106761456,15.26464963,,,,
gen400_p0.9_75.txt n=400 e=71820,"[52, 105, 199, 211, 223, 297]","[43, 55, 75, 76, 194, 262]","[209, 121, 361, 154, 253, 286]","[35, 371, 325, 37, 22, 29]",6,6,6,6,TRUE,TRUE,TRUE,TRUE,147.5750165,295.0421917,2.596620083,13.07866311,,,,
hamming10-4.clq.txt n=1024 e=434176,set(),set(),"[465, 469, 481, 503, 485, 505, 496, 433, 1009, 369, 497, 437, 499, 241, 245, 1013, 500, 501, 373, 509]","[2, 3, 4, 5, 134, 263, 6, 519, 518, 7, 135, 262, 14, 15, 71, 22, 23, 70, 38, 39]",0,0,20,20,FALSE,FALSE,TRUE,TRUE,1800,1800,84.57812762,421.2571046,TIMEOUT,TIMEOUT,,
hamming8-4.clq.txt n=256 e=20864,"[0, 4, 5, 6, 8, 12, 13, 14, 20, 28, 36, 44, 68, 76, 132, 140]","[8, 10, 32, 34, 40, 41, 42, 43, 44, 46, 56, 58, 104, 106, 168, 170]","[69, 197, 209, 81, 212, 85, 213, 87, 215, 21, 84, 149, 93, 221, 117, 245]","[67, 71, 73, 74, 203, 75, 77, 78, 79, 207, 15, 11, 91, 95, 107, 111]",16,16,16,16,TRUE,TRUE,TRUE,TRUE,20.83671474,40.11194277,3.034593344,15.12124372,,,,
keller4.clq.txt n=171 e=9435,"[20, 21, 24, 25, 30, 31, 33, 57, 58, 61, 62, 67, 68, 70]","[54, 55, 58, 59, 65, 68, 69, 108, 109, 112, 113, 124, 125, 128, 129]","[96, 42, 107, 108, 45, 44, 111, 112, 53, 54, 57, 58, 91, 92, 95]","[96, 42, 107, 44, 45, 108, 111, 112, 53, 54, 57, 58, 91, 92, 95]",14,15,15,15,TRUE,TRUE,TRUE,TRUE,9.189755678,16.38640475,1.78305459,7.701750994,,,,
keller5.clq.txt n=776 e=225990,"[9, 10, 11, 21, 22, 25, 26, 45, 46, 47, 58, 59, 62, 63, 182, 183, 184, 195, 196, 199, 200, 219, 220, 221, 232, 233, 236, 237]","[53, 54, 57, 58, 65, 67, 68, 107, 108, 111, 112, 123, 124, 127, 128, 227, 228, 231, 232, 239, 241, 242, 282, 283, 286, 287, 298, 299, 302, 303]","[704, 705, 514, 515, 578, 579, 518, 519, 582, 583, 716, 717, 720, 721, 503, 749, 750, 752, 562, 563, 498, 499, 566, 567, 502, 762, 763, 700, 701, 766, 767]","[515, 516, 451, 452, 519, 520, 455, 456, 531, 532, 467, 468, 535, 536, 471, 472, 287, 288, 291, 292, 232, 233, 236, 237, 303, 304, 242, 307, 308, 243, 244]",28,30,31,31,TRUE,TRUE,TRUE,TRUE,909.8007352,1261.520882,75.57803464,341.1068285,,,,
MANN_a27.clq.txt n=378 e=70551,"[27, 28, 29]","[120, 121, 122]","[171, 172, 173]","[240, 241, 242]",3,3,3,3,TRUE,TRUE,TRUE,TRUE,128.3309567,214.1221931,1.837536812,9.194511175,,,,
MANN_a45.clq.txt n=1035 e=533115,set(),set(),"[939, 940, 941]","[296, 294, 295]",0,0,3,3,FALSE,FALSE,TRUE,TRUE,1800,1800,81.60012579,406.0432112,TIMEOUT,TIMEOUT,,
p_hat1500-1.clq.txt n=1500 e=284923,set(),set(),"[769, 1287, 904, 523, 653, 1428, 413, 158, 1310, 1439, 808, 297, 426, 1450, 429, 1454, 304, 566, 827, 1469, 61, 573, 64, 832, 453, 838, 328, 457, 1360, 721, 82, 1363, 851, 854, 1239, 218, 475, 608, 1121, 98, 742, 1128, 1002, 1387, 1265, 242, 116, 501, 886, 377, 1275, 381]","[769, 2, 262, 1032, 393, 399, 18, 274, 1433, 923, 1310, 1439, 800, 417, 1442, 31, 798, 678, 679, 936, 45, 301, 559, 813, 557, 181, 828, 1213, 190, 1215, 1216, 1473, 193, 577, 196, 198, 1095, 332, 333, 1363, 1237, 730, 95, 230, 361, 1387, 238, 881, 243, 501, 119, 1403, 1278, 383]",0,0,52,54,FALSE,FALSE,TRUE,TRUE,1800,1800,1615.568458,1800,TIMEOUT,TIMEOUT,,TIMEOUT
p_hat1500-2.clq.txt n=1500 e=284923,set(),set(),"[514, 517, 262, 393, 523, 907, 398, 399, 1301, 923, 284, 413, 926, 799, 416, 1439, 549, 1189, 936, 1321, 811, 45, 430, 304, 1205, 310, 1082, 1083, 572, 827, 1214, 61, 65, 577, 323, 1356, 1485, 80, 82, 1112, 219, 1122, 994, 1126, 358, 488, 616, 492, 1391, 1394, 630, 1271, 886, 765, 1278, 639]","[386, 1287, 394, 652, 1040, 530, 147, 274, 532, 662, 23, 280, 1178, 1050, 158, 1058, 933, 1319, 553, 940, 301, 1198, 559, 813, 429, 693, 1078, 183, 184, 441, 953, 1205, 1468, 190, 577, 321, 840, 969, 1354, 74, 1356, 1360, 470, 1368, 601, 1244, 226, 738, 230, 361, 362, 494, 753, 502, 1018, 765, 639]",0,0,56,57,FALSE,FALSE,TRUE,TRUE,1800,1800,1495.59154,1800,TIMEOUT,TIMEOUT,,TIMEOUT
p_hat1500-3.clq.txt n=1500 e=847244,set(),set(),"[994, 163, 199, 1450, 492, 911, 887, 281, 827]","[998, 968, 718, 176, 1141, 886, 633, 1083, 639]",0,0,9,9,FALSE,FALSE,TRUE,TRUE,1800,1800,683.6773167,1800,TIMEOUT,TIMEOUT,,TIMEOUT
p_hat300_1.clq.txt n=300 e=10933,"[0, 1, 7, 9, 11, 13, 22, 33, 45, 59, 63, 64, 68, 72, 84, 98, 110, 113, 115, 131, 133, 141, 142, 154, 166, 168, 182, 185, 186, 188, 201, 209, 237, 240, 242, 247, 277, 281, 294]","[0, 1, 7, 9, 11, 13, 22, 33, 45, 59, 63, 64, 68, 72, 84, 98, 110, 113, 115, 131, 133, 141, 142, 154, 166, 168, 182, 185, 186, 188, 201, 209, 237, 240, 242, 247, 277, 281, 294]","[256, 5, 143, 15, 277, 281, 26, 33, 35, 166, 294, 168, 172, 177, 185, 186, 190, 63, 64, 65, 68, 200, 209, 84, 95, 98, 101, 232, 233, 111, 115, 116]","[1, 260, 264, 9, 11, 268, 141, 277, 281, 283, 157, 40, 45, 181, 182, 186, 59, 61, 68, 197, 201, 203, 77, 209, 81, 211, 232, 240, 113, 242, 112, 117, 247]",39,39,32,33,TRUE,TRUE,TRUE,TRUE,13.42726517,25.02268505,14.01559567,69.55926132,,,,
p_hat300-2.clq.txt n=300 e=21928,"[7, 11, 13, 15, 16, 52, 59, 68, 98, 111, 115, 131, 154, 166, 168, 177, 185, 193, 206, 223, 229, 232, 233, 240, 242, 247, 277]","[7, 11, 13, 15, 16, 52, 59, 68, 98, 111, 115, 131, 154, 166, 168, 177, 185, 193, 206, 223, 229, 233, 240, 242, 247, 277, 283]","[194, 68, 7, 9, 201, 142, 271, 206, 274, 277, 21, 85, 154, 283, 288, 227, 233, 235, 45, 237, 242, 247]","[131, 68, 5, 7, 11, 15, 16, 209, 277, 283, 223, 98, 229, 294, 237, 111, 240, 177, 112, 242, 182, 247, 185, 188]",27,27,22,24,TRUE,TRUE,TRUE,TRUE,26.03973222,43.91617537,11.60966182,59.89819074,,,,
p_hat300-3.clq.txt n=300 e=33390,"[33, 38, 98, 200, 206, 228, 233, 241, 248]","[33, 38, 98, 200, 206, 228, 233, 241, 248]","[164, 228, 68, 85, 72, 26, 237]","[1, 202, 171, 237, 277, 217, 59, 63]",9,9,7,8,TRUE,TRUE,TRUE,TRUE,47.32652497,73.79887986,4.034181595,20.42025876,,,,
p_hat700-1.clq.txt n=700 e=60999,"[1, 5, 12, 21, 28, 32, 34, 41, 44, 46, 66, 88, 89, 101, 119, 133, 136, 137, 138, 139, 142, 167, 181, 195, 230, 231, 235, 241, 263, 266, 288, 304, 310, 315, 319, 337, 348, 373, 380, 382, 398, 403, 404, 425, 442, 462, 466, 475, 482, 493, 513, 518, 529, 535, 542, 563, 566, 585, 595, 641, 656, 671, 678]","[12, 21, 28, 32, 40, 41, 46, 66, 119, 124, 133, 136, 142, 164, 167, 181, 195, 197, 205, 219, 230, 231, 235, 241, 263, 277, 288, 304, 310, 315, 329, 337, 348, 373, 380, 382, 385, 398, 404, 414, 418, 425, 442, 466, 471, 472, 475, 482, 513, 518, 528, 535, 542, 546, 547, 584, 585, 595, 602, 641, 656, 658, 673, 678, 679]","[1, 136, 12, 398, 399, 400, 17, 654, 282, 667, 542, 287, 32, 33, 546, 678, 555, 44, 52, 181, 308, 312, 315, 319, 195, 198, 329, 204, 591, 79, 594, 89, 602, 475, 94, 612, 613, 230, 359, 616, 364, 365, 493, 112, 119, 120, 382]","[513, 518, 136, 12, 399, 656, 529, 400, 658, 21, 411, 159, 544, 418, 676, 550, 167, 424, 42, 45, 174, 181, 696, 569, 314, 442, 315, 576, 197, 204, 471, 601, 602, 219, 475, 348, 612, 613, 229, 359, 230, 493, 366, 113, 245, 373, 380, 382]",63,65,47,48,TRUE,TRUE,TRUE,TRUE,169.2402532,218.2575464,157.7234097,823.7534034,,,,
p_hat700-2.clq.txt n=700 e=121728,"[12, 21, 32, 46, 52, 54, 88, 94, 119, 120, 133, 136, 145, 159, 197, 219, 230, 241, 263, 288, 304, 308, 348, 373, 380, 382, 404, 414, 418, 462, 466, 471, 475, 482, 493, 528, 535, 546, 547, 563, 601, 616, 634, 644, 654, 656, 673, 678]","[12, 21, 32, 40, 46, 79, 88, 94, 119, 120, 136, 143, 145, 159, 197, 219, 241, 288, 304, 308, 315, 348, 373, 380, 382, 400, 404, 414, 418, 425, 462, 466, 471, 475, 482, 493, 518, 528, 546, 547, 552, 563, 601, 616, 634, 644, 654, 673, 678]","[642, 133, 585, 12, 462, 656, 400, 529, 403, 404, 528, 601, 219, 120, 414, 542, 159, 418, 482, 678, 230, 493, 506, 563, 308, 119, 696, 122, 380, 509]","[641, 388, 133, 262, 518, 403, 663, 159, 288, 546, 547, 165, 679, 42, 46, 304, 71, 585, 330, 462, 79, 337, 215, 88, 601, 219, 223, 482, 230, 616, 493, 241, 629, 119, 637, 382]",48,49,30,36,TRUE,TRUE,TRUE,TRUE,459.1608388,732.7110412,295.822859,1557.873595,,,,
p_hat700-3.clq.txt n=700 e=183010,"[12, 41, 45, 97, 113, 337, 377, 445, 461, 645]","[1, 82, 124, 136, 348, 359, 403, 475, 625, 632]","[613, 42, 556, 301, 588, 12, 90, 157]","[641, 673, 99, 644, 560, 567, 215, 156]",10,10,8,8,TRUE,TRUE,TRUE,TRUE,715.644613,1286.296323,66.46436,279.1157584,,,,